local_case_data_onset
0
0
0
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
2
0
0
0
0
0
0
0
0
0
0
2
2
3
0
1
1
0
0
1
0
2
3
1
3
4
3
3
1
2
5
6
8
3
8
8
5
17
7
13
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
NA
